seller_id,seller_city,seller_state,total_revenue,total_orders,avg_market_share_pct
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,14257667.2,358,100.0
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,11416332.8,467,90.56
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,11340769.92,736,68.48
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,11177227.52,327,84.41
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,6890449.28,343,98.4
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,6088872.32,171,99.41
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,6023314.56,389,95.48
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,5317355.52,294,56.44
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,4898790.4,291,92.03
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,4717735.68,185,100.0
