seller_id,seller_city,seller_state,total_orders,total_items_sold,total_revenue,avg_review_score,distinct_categories
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1132,73984,14686248.32,4.12,10
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,358,26240,14257667.2,4.08,2
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1806,127168,12830266.88,3.8,7
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,585,37504,12418689.92,4.34,5
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,982,87296,12027128.96,3.34,6
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,336,21760,11291639.68,4.21,8
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1314,99264,10255140.48,4.06,4
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1160,74944,9071713.92,4.23,2
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,91392,8893987.2,3.85,4
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1287,95936,8650988.8,4.05,23
